"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3795,3800,3650,3600,3600,3600,3599,3700,3500,3600,3700,3799,3700,3650,3600,3550,3550,3500,3575,3600,3700,3695,3698,3700,3700
"Houston","TX","Houston","Harris",2,,,,,,,,,,,,,1550,1600,1550,1585,1650,1587.5,1472.5,1412.5,1450,1450,1495,1450,1500,1500,1300,1300,1350,1412.5,1500,1400,1200,1299.5,1300,1300,1200,1300,1300,1300,1350,1400,1475,1550,1400,1425,1525,1550,1300,1375,1400,1600,1650,1800,1800,1750,1785,1725,1795,1750,1830,1895,1959,2100,2025,2100,2089,2100,2000,2000,2000,1995,1950,1950,2000,1950,2000,1997,1950,2050
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,1750,1697.5,1625,1650,1800,1900,2000,2000,1950,1970,1900,1900,1800,1700,1750,1750,1700,1700,1900,1950,2000,2000,2000,2000,1850,1800,1799,1800,1950,2000,2000,2000,2000,2000,2000,2000,1845,1800,1800,2000,2000,2000,2000,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1897.5,1900
"Phoenix","AZ","Phoenix","Maricopa",4,1650,1750,1500,1495,1450,1395,1472.5,1397.5,1395,1295,1295,1199.5,1200,1200,1340,1250,1250,1195,1195,1150,1150,1150,1150,1148,1150,1195,1195,1200,1250,1250,1234.5,1200,1140,1100,1100,1100,1100,1165,1175,1187,1175,1195,1150,1195.5,1200,1200,1200,1195,1175,1175,1195,1250,1295,1300,1395,1250,1285,1275,1350,1300,1495,1495,1485,1500,1550,1550,1499.5,1450,1400,1399,1485,1492.5,1345,1425,1437,1510,1428,1475,1397.5,1450
"Las Vegas","NV","Las Vegas","Clark",5,,,,1472.5,1375,1297.5,1495,1595,1695,1597.5,1495,1450,1395,1395,1350,1450,1425,1400,1400,1445,1399,1350,1350,1395,1350,1395,1395,1350,1375,1375,1350,1350,1350,1325,1300,1300,1345,1350,1390,1380,1350,1350,1395,1395,1395,1395,1395,1360,1350,1375,1375,1400,1400,1400,1400,1400,1400,1395,1395,1400,1400,1400,1495,1435,1450,1495,1495,1475,1450,1495,1450,1450,1495,1550,1500,1495,1500,1495,1495,1450
"San Antonio","TX","San Antonio","Bexar",6,,,,,,,,,,,,,,1350,1380,1395,1400,1425,1400,1382.5,1362.5,1395,1395,1350,1395,1495,1407,1452,1500,1495,1450,1450,1450,1495,1375,1450,1400,1462.5,1495,1500,1498,1500,1475,1450,1450,1400,1400,1425,1400,1400,1425,1500,1500,1500,1500,1495,1475,1450,1450,1475,1495,1500,1500,1550,1595,1600,1575,1562.5,1575,1575,1550,1550,1595,1597.5,1600,1595,1595,1600,1600,1595
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,3125,3000,2995,2795,2530,2500,2700,2750,2625,2600,2595,2395,2415,2500,2500,2550,2550,2450,2500,2400,2397,2397,2500,2400,2472.5,2500,2695,2800,2950,2750,2595,2750,2650,2550,2540,2600,2800,2880,2995,3000,2848,2800,2795,2824,3197.5,3200,3000,2995,2975,2995,3000,3037.5,2995,2950,2995,3000,3125,3325,3300,3200,3200,3125,3000,3050,3000
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,2000,1925,1800,1940,1700,1700,1975,1997.5,1930,1895,1897.5,1995,1977.5,1675
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,2600,2525,2551.5,2595,2625,2550,2495,2572.5,2747.5,2500,2500,2550,2550,2500,2600,2650,2625,2700,2650,2600,2600,2600,2600,2795,2990,2992.5,3112.5,3050,2800,2995,2895,2900,2800,2885,3245,3297.5,3400,3285,3495,3350,3300,3300,3350,3295,3500,3500,3500,3700,3700,3510,3550,3600,3570,3500,3500,3650,3700,3625,3650,3800,3800,3800,3750
"Jacksonville","FL","Jacksonville","Duval",10,1312.5,1352.5,1350,1300,1350,1350,1350,1350,1350,1297.5,1300,1312.5,1350,1295,1295,1295,1300,1350,1350,1300,1295,1295,1200,1200,1295,1275,1255,1250,1285,1300,1250,1250,1200,1250,1200,1225,1250,1250,1300,1350,1350,1350,1350,1350,1325,1350,1325,1300,1300,1350,1350,1350,1350,1350,1300,1300,1295,1275,1275,1275,1275,1299,1325,1325,1375,1395,1326,1350,1350,1375,1375,1370,1355,1384,1395,1400,1400,1437.5,1395,1405
