"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
102001,"United States",0,171800,171900,171900,172000,171900,171900,172400,173000,173700,174700,175800,176700,177400,178200,179000,179700,180500,181500,182400,183100,183800,184800,186100,187000,187200,187200,188100,189500,190600,191100,192000,193000,194000,194900,196000,197400,198700,199800,201000,202100,203100,204300,205400,206400,207800,209200,210600,211900,213500,215200,216400,217500,218700,220000,221300,222500,224100,225600,227100,228400,229800,231000,232100,233100,234400,235600,236800,237800,239000,240200,241200,242200,243200,244400,245700,247300,248900,250500,252100,253700,255400,257100,258700,260300,262000,263900,265900,267700,269300,271000,272800,274600,276400,278200,280400,282600,285000,287600,290400,293200,296200,299100,302100,305100,307900,310700,313700,317400,321100,324600,328000,331400,334700,337900,340900,343800,346300,348600,350500,352200,353700,354800,355700,356400,357000,357400,357700,357600,357600,357700,357900,358000,358000,357600,356800,355900,354800,353500,351900,350200,348100,345900,343400,340300,337200,334700,332200,329800,327500,325300,323300,321400,319600,318000,316400,314500,312200,309500,307200,305500,304200,303200,302200,301400,300200,298900,297700,296900,296400,296100,295300,293900,292100,290600,289200,288000,287300,286400,285400,284300,283100,282200,281400,280500,279700,279100,278700,278300,278000,277900,278000,278500,279400,280200,281200,282300,283300,284000,284800,285700,287000,288300,289700,291200,293100,295000,297000,299200,301300,303100,304700,306200,307800,309400,310600,311700,312800,313800,315100,316400,317500,318400,319500,320500,321400,322400,323500,324600,325900,327100,328100,328900,329900,331100,332300,333600,334700,335600,336500,337800,338700,339300,340100,341300,342800,344000
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000,622000,627400,632600,635200,638400,645400,654800,661800,668400,674500,679800,683800,687800,692600,697800,700200,701400,704200,707800,710900,713700,715100,715500,715700,715300,714600,714400,711900,708800,708100,709000,708700,708500,707800,706500,705000,704200,703900,704100,702400,699100,696100,694300,692000,689100,685900,683100,680300,677300,674200,670200,666300,662800,658600,653400,648400,643500,638800,634900,632000,630000,628800,628400,627000,625300,624800,625200,625200,625300,625500,625500,624700,623100,621100,619600,618800,618400,617700,616500,614900,613500,612800,612100,611100,609700,608400,607400,606500,605300,604700,604900,605300,605700,606600,608400,610600,612600,613700,614100,614500,615300,616400,618000,620300,623300,626800,630500,634400,637300,639500,641500,644600,648400,652200,655100,658400,662500,666200,668800,671300,673200,674500,676400,678800,681100,683000,684500,686100,688800,693100,697900,702000,706000,710300,713700,716100,718200,720800,724400,727500,727700,726100,724000,723900,725000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,292600,293600,292900,291900,291800,292400,292700,293400,295100,298100,300800,303100,305200,307200,307900,308600,310000,312200,314500,317100,320000,323300,327800,328900,326900,326100,333900,344800,352300,354600,357900,361200,364100,366100,368100,371300,374700,378200,381000,382600,383800,386300,389400,392600,396000,399900,403600,407000,410500,414200,416500,418300,420800,424000,427000,431000,435500,440300,445200,450400,454400,456900,457800,459300,461700,464600,467700,471900,476300,480600,484700,489400,495000,501400,507900,514700,522700,532200,541300,549100,556400,564200,572300,579700,587000,594300,600600,607300,615700,625100,635500,647300,660000,672300,684700,698900,715900,734000,751700,767600,780600,790300,797800,803800,809200,815100,821300,828000,835800,846700,859100,870600,880300,889000,896900,904500,911000,916200,921500,927200,930700,931400,931700,931700,931000,930000,928700,926000,922300,919900,919600,920200,920000,917300,912500,908100,903800,898000,891600,885200,879000,872200,862900,849800,835900,823700,812400,801300,791900,784700,778600,771800,766100,762600,758000,751300,744600,739300,736900,737300,738600,740300,741700,742400,740000,735400,732600,732400,732600,731600,728800,725000,721700,718100,715400,714900,715900,715500,713400,710900,708400,704900,700400,695600,691700,688900,686400,684800,684400,685500,686900,688300,691000,696200,702300,708300,713500,717900,721900,727100,734300,742500,752200,763800,775900,787700,798900,808500,817200,825300,831800,837300,841700,845400,849900,856000,861600,866100,869900,874700,878900,882200,884800,887500,890900,895100,899600,905100,910200,913500,916200,919300,923400,928300,934300,940900,947200,952600,959000,964700,968600,971500,975800,979500,981300,982000
394463,"Chicago, IL",3,220000,220500,221000,221100,221100,221300,221600,221900,222800,224400,225800,226500,226900,227400,227800,228200,228700,229600,230500,231100,231800,233000,234100,235100,236100,236800,236900,237100,237600,238600,240200,241900,243400,244600,245800,247200,248800,250200,251500,253200,254900,256500,258300,260400,262300,264300,266300,268100,269900,271800,273700,275700,277800,280000,282200,284300,286900,289600,291700,293500,295500,297600,299500,301300,303300,305600,307700,309600,311400,313300,315100,316700,318000,319100,320400,322300,324500,326800,329200,331300,333500,335900,338500,341200,344100,347700,352400,356400,358600,358700,357700,357100,358300,360200,362000,363700,365700,367500,368700,370200,372600,375000,377500,381000,381700,380100,380600,384000,386500,388800,390900,393000,395100,397500,400200,402700,405200,407700,409500,410700,411900,412900,413600,414200,414700,415500,416600,417200,417600,418200,418700,418200,417100,415600,414100,413000,411800,410600,409100,407200,405600,404500,402900,400200,397000,393800,390100,386300,383300,381100,379200,376800,375100,374100,372400,369300,366200,363000,359800,357300,355700,354400,353200,352400,351100,349100,347400,346100,345400,345500,345100,343100,340400,337800,335100,332200,330300,329500,328600,327300,325800,323500,321200,319600,318400,317300,316300,315200,313900,311900,310100,309400,309900,310900,312800,315300,316200,315400,314900,315700,316100,316100,316600,318000,319900,322600,325700,328800,331200,333400,335400,336700,337900,339500,341300,342700,343400,344200,345200,346100,347400,348800,349600,349800,350000,349900,349900,350900,353000,354500,355200,354800,354700,355100,355800,356400,357400,358200,359200,360400,361700,362300,362400,363100,364600,365900
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,168500,169000,169400,169900,170600,171300,172000,173200,174200,174900,175600,176700,177500,178000,177900,178000,178400,179200,180100,180800,181400,182200,183300,184600,185600,186500,187500,188800,190100,191300,192500,193600,194200,195100,196500,197600,197700,197900,198000,198500,198800,198600,198400,198600,199000,199700,200300,201000,202400,204400,206300,207600,208800,209700,210600,211500,212400,213000,213800,214600,215000,215300,215500,215800,216200,217000,217700,218200,218800,219400,219900,220400,220600,220700,220600,220500,220700,221100,221400,221600,221700,221800,222200,223400,225000,226800,228700,230400,231500,232600,234000,235300,236400,237600,238400,238900,239500,240400,241100,241900,242800,243800,244900,246100,247000,248000,248800,249700,250700,251700,252400,253300,254500,255700,256500,257100,258200,259300,260000,260500,261100,261900,262700,263300,263900,264700,265500,266600,267700,268800,268800,267700,265900,264400,263200,262500,261800,261000,260100,259200,258500,257900,256900,255800,254900,254200,253100,251800,250800,250300,250400,250600,250900,250400,252100,255400,256900,256500,257100,257900,258300,258400,258100,257500,256600,255900,255500,255600,256100,256300,256000,255600,255400,255000,254500,254300,254400,254800,255400,256300,257400,258700,260000,261000,261500,262000,262700,263100,263700,264800,265700,266200,267100,269000,271200,273500,275700,277800,279700,281900,284000,285900,287100,288000,289200,290800,292200,293700,295800,298200,300400,302400,304500,306800,308700,310100,311900,315300,319500,323700,327200,329900,332500,335500,338900,342200,344800,347000,349500,351800,353300,354700,356700,359400,362600,365200
394974,"Philadelphia, PA",5,179700,179500,179600,179700,179600,179500,179500,179800,180200,180900,181600,182400,183000,183400,183600,183800,184000,184400,184900,185500,186000,186900,188300,189500,190200,190500,190700,190800,190600,190600,191000,191500,192100,193100,194100,195000,195800,196500,197400,198800,200500,202200,203500,204600,205800,207200,208600,209900,211200,212600,214000,215500,217000,218200,219700,221400,222800,224300,226100,227700,229400,231500,233500,235300,237200,239300,241200,242800,244800,247100,249100,251200,253300,255600,258100,260800,263600,266600,269500,272600,275800,279000,281700,284400,287600,290500,293000,295800,298900,302000,305100,308300,311200,313700,316400,319600,323000,326600,330300,333700,337000,340200,343300,346600,349900,352900,355900,358900,362000,365400,369000,372300,375500,378800,381900,384800,387200,389100,390600,392200,393700,394500,395000,395700,396200,396000,395400,394500,393400,393000,393300,393200,392500,391800,391000,390300,389700,389000,388300,387900,386800,385100,383600,382400,381300,380300,379400,378500,377800,376800,375400,373600,371600,369900,368700,367700,366000,364100,362300,360900,359700,358800,358500,358300,358200,358000,357300,356600,356800,357000,356500,354100,351400,349000,347000,345600,345500,345800,345900,344800,343000,341200,340000,339100,338300,337400,336800,336300,336300,336400,336100,335500,334700,334000,333400,333600,334000,334300,334400,334800,335500,336300,336900,337700,339200,340900,342300,343900,345400,346800,348000,349300,350600,351900,352800,353300,354400,356400,358300,359900,360900,361700,362400,362600,361900,361000,360800,361300,362300,363700,365300,366500,367000,367000,367200,367600,367600,367500,368500,370300,371000,370700,370400,370900,372800,374700
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254400,254600,254600,254100,253100,252200,251100,250000,249000,248500,249400,250300,251400,251100,250800,250500,250300,249900,249300,248700,248000,247100,247600,248800,250300,251000,251900,253200,254100,254700,255000,255700,256700,257900,259700,261800,264100,265900,268000,270600,273600,276000,278000,279100,280300,282100,285300,288500,291200,293300,295900,298700,301700,304400,307400,310500,313300,315400,317300,319000,321000,322600,324400,325900,327000,327900,328600,329000,329400,329900,330900,331900,332700,333100,332200,330200,328000,326900,326600
395209,"Washington, DC",7,250300,250100,250000,249700,249500,249600,250200,251000,251700,252700,253700,254300,254400,254200,253900,253900,254200,254500,254800,255800,257100,258600,259900,260900,261500,261900,262100,262600,263000,264100,265400,266400,267500,269200,270900,272400,273700,275600,278100,280800,283400,285800,287600,290000,292900,296000,299400,302600,305900,309500,313100,316700,320500,324200,327700,331300,335100,339100,343100,347000,351300,355800,360200,364700,369100,373000,376700,380400,383600,386800,390600,394800,398600,402500,406900,411500,416000,420800,425400,429800,434600,439300,443700,448000,452000,455500,458800,462600,466900,472000,477900,483700,489400,496100,503400,511100,519700,529100,538800,549000,559400,569600,579500,589500,599500,609000,618500,628600,638800,648500,657900,666100,672200,677000,681300,685000,687000,687800,687900,687200,685100,682200,678300,673600,669000,665400,662400,660100,657400,654900,653100,652200,651600,650400,648000,644800,641100,637600,634200,630200,625000,619700,613900,608000,601800,596100,590700,586700,583900,580800,577300,573700,569200,564300,560500,557600,554700,552200,550500,549900,550200,551000,552100,552300,556000,562400,566500,566700,567400,568300,569200,569100,568400,567300,566000,565200,565000,565000,564900,564800,564900,565700,566300,567100,568200,568300,567700,567900,568000,567100,566600,567800,569700,571700,573700,575300,576100,576800,578400,580900,583200,584600,586700,589900,593700,598200,603900,609000,613400,617600,620700,622600,623700,625100,627000,629000,631000,632900,634100,634000,633300,633000,634400,636900,639100,640400,642000,643900,644600,644600,644100,643700,643500,643900,644800,646100,647300,648400,650000,651800,652600,652000,651200,651700,653800,656000
394856,"Miami-Fort Lauderdale, FL",8,175600,175700,175500,175200,174900,174500,174500,174800,175300,176200,177200,177600,177900,178100,178400,178700,179000,179900,181100,181900,182300,183000,183800,184300,184400,184700,185000,185200,185500,186000,186600,187500,188400,189100,190000,191300,192400,193500,194800,195800,196400,196900,197600,198500,200000,201800,203600,205400,207100,208900,210700,212200,213200,214300,215800,217700,219800,222000,224500,227600,230700,233400,235500,237600,239800,242300,245400,248100,251100,254700,258900,262500,265600,268000,270900,275800,283200,289100,291800,294100,296400,297900,298900,300200,301900,304300,307000,309500,312100,315200,319000,322900,326900,331300,335600,340100,345400,352000,359200,366400,373000,380100,387900,395900,403600,412000,421000,431200,442200,453200,463600,473900,483300,491600,499600,507400,513400,518200,522700,526500,529100,531000,531300,530300,528500,526800,526100,526100,524700,521600,518300,514800,510400,505200,499400,493300,487200,481300,474500,467700,460900,453500,444200,433800,423000,412900,404100,396200,388100,379300,370100,360800,353700,350000,346900,342000,336800,332800,329800,326600,324000,322900,322600,322600,322100,320500,318800,318100,317900,317700,317200,316500,315500,314100,312000,309600,307400,305800,305300,305700,306000,305800,305500,305400,305000,304300,304000,304300,305400,307000,309400,312400,315900,318800,320800,322500,324700,326600,328800,332300,336200,339000,341000,343700,347400,350900,353900,357000,360300,364600,369100,372500,374800,377500,380700,383800,386300,388600,391000,393000,394700,396800,399600,403100,406300,408400,410200,412100,413800,416100,419200,422400,425100,428100,431000,433500,435000,436400,437500,438000,438600,440000,441600,443500,446300,448800
394347,"Atlanta, GA",9,182300,182300,182200,181900,181900,182300,182900,183600,184500,185500,186500,187600,188700,189400,189900,190600,191400,192100,193000,193900,194900,196000,197200,198300,199400,200400,201600,203000,204400,205900,207600,209100,210500,211800,213400,215200,217000,218800,220700,222400,224400,226400,228100,229600,231300,233000,234700,236400,238300,240000,241800,243700,244900,245700,246600,247500,248400,249400,250200,250900,251700,252700,253600,254400,255300,256400,257100,257700,258500,259400,260200,260900,261700,262800,263800,264800,265800,266300,266600,267200,267900,268500,269200,269900,270500,271100,271600,272100,272800,273700,274700,275700,276700,277600,278500,279800,281000,281700,282500,283400,284400,285400,286700,288300,290100,291900,293600,295400,296900,298000,299000,300400,301900,303400,305300,307300,308800,310200,311700,313000,314000,315200,316500,317800,319100,320000,320800,321600,321900,321400,320900,321200,321800,322300,322400,322300,322400,322500,322000,321300,320500,319500,318200,316500,314400,312600,310500,308200,305600,303200,300400,297200,294500,293600,293000,291300,289100,287000,284900,283200,282200,281400,280700,280100,279300,278100,277100,276300,275900,275700,275300,273900,271800,269600,267800,266100,264800,263100,261000,259200,257900,256400,255600,255300,255000,254500,254200,253800,253500,253300,253400,253800,254400,255500,257300,259000,259900,260500,261500,262700,264000,265600,266800,267700,269300,271100,272900,275000,277500,280100,282500,284700,286900,288800,290400,292300,294600,296500,297700,298800,300100,301900,303800,305800,307500,309000,310900,313500,315500,317100,318400,319800,321300,323100,325300,327300,328700,330000,331800,334000,335900,337400,338800,340700,343100,345200
394404,"Boston, MA",10,249400,250000,250900,251900,252800,253400,253800,254700,256200,258200,260300,262700,264600,266000,267300,268700,270000,271600,273500,275600,278000,280800,283500,286000,288300,290600,292700,295200,298000,300600,303100,305600,307600,310000,313000,315900,318900,322300,326200,330300,334600,338800,342700,346700,350900,355200,359600,364000,368300,373200,378700,384100,389100,394300,399600,405000,410600,415900,420800,425600,430800,435900,440500,444500,448700,452700,456600,459900,462500,464500,466800,469200,472200,475300,478900,482900,486900,491000,495600,500400,504900,509600,513300,516000,518100,519900,521600,523600,525500,527300,529700,533000,536400,539200,542900,547200,551700,556200,560500,564000,567400,570700,573500,576400,579800,583700,587400,591100,594300,597000,599000,600500,601800,602900,603600,603100,601900,600700,599900,599600,599100,597000,593500,589900,586700,583700,580800,578600,576500,575000,575000,575100,574000,572500,571500,570900,570800,570600,569900,569100,567100,564400,561700,558500,554500,551500,549400,548600,548500,547800,546100,543400,539600,535800,533100,530200,527000,525000,524800,525400,526300,527000,527600,527300,529200,531800,532300,532200,534300,536300,537200,536800,535300,534300,533500,532800,533800,535000,534900,535100,536600,537100,536500,535300,533500,531300,530300,530500,531100,530800,529600,529200,530600,532900,534800,536100,536900,538300,540700,544400,547700,550700,554300,558600,562000,564900,567700,570700,573500,577100,581000,584400,587000,590500,594900,599200,603100,608100,612800,615800,618000,619900,621800,624100,625700,627000,630500,634700,636700,637300,639000,641600,645400,649100,652900,656900,660200,663000,665300,666400,667000,668300,670600,674600,679200,682600
395057,"San Francisco, CA",11,362700,363500,363500,362600,362500,363500,364800,366700,369000,371600,374800,378000,381600,386000,389400,391700,395400,400300,404700,409200,414400,420200,425400,430800,430400,424800,429400,444200,453400,455900,459600,463400,467600,472000,475800,478800,483100,489500,495500,500800,507200,515200,524600,535100,546100,556700,567700,579400,593500,609400,623400,635400,648000,660400,671400,682700,692400,700400,709000,717500,722500,723400,720900,716100,711600,708500,705600,701300,696900,695600,696100,696700,700100,707400,715000,721400,727600,733000,736600,739700,742300,744000,745200,747000,749200,751200,753100,755800,759800,764300,769900,778200,788800,799700,810500,821800,833900,845500,855800,865600,876200,887900,900200,911600,922800,935100,948900,962800,975300,985400,994400,1002900,1010700,1017500,1023500,1028900,1034300,1038200,1038200,1035300,1032400,1030500,1028300,1026500,1026000,1026700,1027900,1027800,1027100,1028100,1031300,1034200,1035300,1036000,1037700,1041400,1044400,1044500,1041000,1036000,1029600,1023600,1018600,1013200,1008300,1004000,997700,988200,977400,966900,957300,948000,941100,935900,928600,918800,909000,899200,891200,886900,885000,882700,880800,880800,876500,867300,860800,859500,857500,856200,856900,856600,854800,853200,850700,848000,848700,849200,845400,839600,835300,832800,830100,825400,820900,820200,823200,827000,829200,830500,832100,835600,841800,850000,859100,867700,875100,882800,891600,900600,910100,920200,933300,949700,967800,985100,1000900,1015900,1031900,1045700,1056400,1066600,1079100,1091900,1103400,1114200,1125800,1137800,1151500,1166300,1180800,1192800,1204000,1213400,1220500,1230500,1249400,1272300,1291300,1303800,1313500,1324800,1335000,1341400,1348500,1358500,1370700,1384700,1396000,1400900,1401900,1401900,1399600,1397300,1397300,1398200
394532,"Detroit, MI",12,,,,,,,,,,,184300,186000,187200,188200,189200,189800,190700,192400,194000,194900,195700,196800,198100,199200,200200,201100,202200,203300,205400,207800,209500,210400,211500,212600,214100,215300,216400,217800,219500,220800,222600,224700,226000,226700,227500,228500,229600,230800,232100,233200,233800,234300,235500,237100,238300,239400,240800,241800,242400,243300,244100,245100,246400,247500,248400,249600,250700,251300,251800,252500,253100,253400,253500,253800,254500,255600,256600,257300,258100,258800,259500,260300,261000,261700,262400,262800,263000,263700,264600,265000,265400,266300,267300,268100,268600,269000,269400,270000,270700,271200,271600,272500,273400,274300,275100,275700,276200,276800,277300,277900,278300,278100,277600,277400,277300,277000,276600,276000,275100,274100,273600,272900,271800,270400,269100,267500,265900,264200,262300,260500,259100,257800,255800,253400,251100,249100,247100,244800,242400,240000,237100,233400,229700,226600,223700,220200,216400,213000,209900,206700,203400,200100,197000,194700,193200,191000,188200,185600,183700,182300,181600,181300,180900,180500,181000,181800,182100,182100,182500,183500,183900,183200,181900,181100,180700,180100,179300,179200,179400,179300,179000,179100,179200,179400,179700,180400,181100,181600,182500,183500,184000,185200,187200,189200,191600,194500,197100,199200,201600,204100,206200,207900,209800,211900,214100,216700,219400,222200,225000,227700,230100,232400,234100,235300,236500,238000,239400,240600,242100,243700,244800,245500,246500,247700,248300,248800,249700,251000,252200,253500,254500,255100,255700,256700,257600,258800,260000,260700,261500,262800,264100,265100,265900,267000,268600,270000
395025,"Riverside, CA",13,181700,180200,179100,178200,177700,177700,178400,179600,181500,183200,184300,184900,185500,185800,186200,187000,188000,189200,190700,192200,194200,196400,198300,199700,200800,201400,201700,202000,203000,204400,205700,207200,209000,210800,212000,213300,215400,218200,221000,223600,225300,226700,227700,227900,227800,229000,231600,234000,236700,240100,243600,246100,247400,247900,249000,250800,252700,254800,256500,258900,262000,264500,265800,267500,270200,272700,274000,275200,277300,279700,282500,285500,287800,289900,292400,296000,300700,306000,310700,314400,318000,322400,327000,331400,336000,341700,347500,352200,356400,361800,368800,376800,385000,392700,400400,409100,418800,428900,439600,450300,460600,470000,478600,486000,490700,493900,498600,504100,508600,513100,520500,529600,537400,543700,550500,559500,569500,577700,582800,585400,587100,587700,586700,585300,584300,582700,580000,576600,572700,569000,565800,562600,559000,554200,548100,541800,535800,529100,521200,512700,503200,493100,482700,471800,461400,451400,440800,430300,420700,411300,401800,391800,383400,377800,372900,367700,362700,358300,355100,352300,349200,346500,344900,344500,344100,343600,344300,345700,346500,346300,344500,341500,339400,338600,337700,336700,336100,335000,333400,331600,329300,326800,324600,322700,320700,319000,318300,318800,319600,319900,319900,319800,319500,320100,322200,324800,326700,328600,331300,334700,339000,343400,347700,353100,360500,368500,376500,384500,392500,400100,405800,409600,412700,415800,418600,420900,422900,425400,427700,429400,431100,432900,435100,437400,439000,439900,440700,442300,444400,445900,447500,449600,451400,452400,453400,453700,453400,453200,454200,456000,458200,459900,461600,463500,465300,466500
394976,"Phoenix, AZ",14,173200,172800,172600,172400,172800,173500,173800,174000,175100,176400,177200,177800,178500,179600,180600,181500,182500,183500,184900,186100,186900,188200,189900,191200,192100,193200,194000,194400,194700,195100,195200,195700,197100,198900,200600,202200,203700,205000,206300,207500,208600,209400,209900,210700,212200,213700,215100,217000,219000,220600,222300,223700,224600,225300,226100,227300,228600,229700,230700,231600,232300,233000,233800,234400,235000,235900,237100,237700,238000,238900,240300,241600,242800,243600,244100,245000,246200,247400,249000,251500,253800,255400,256400,256900,257400,258700,260700,262400,263700,264900,266700,268800,270600,272400,274600,277500,280800,284600,288800,293800,300400,308800,317000,323900,330800,339000,349000,361000,374000,386900,399600,412700,424900,434900,443100,450700,457500,462400,465200,466200,466100,465900,466100,466000,465300,463900,462300,461500,461000,459700,457100,454000,451000,448100,445300,442600,439800,436100,432100,427900,422900,417000,410200,403000,396300,390400,383800,377000,370500,365200,359700,352900,348100,346500,344300,339200,333700,328400,323700,319300,315600,312400,309200,306200,300400,293400,290500,291800,292500,292200,291000,289300,286800,283300,281000,280100,280100,280500,280700,279700,277600,274900,271900,269200,267500,267100,267200,268300,271000,274300,277100,280000,283900,288500,293700,298700,303000,306600,309600,311800,314100,316800,319500,322600,326700,330700,334900,339400,343500,346500,348900,351200,353400,354700,354800,354700,354800,355200,355500,355600,355500,356300,357800,359600,361700,363700,364700,364800,365100,365600,366600,367900,370100,372100,373800,375300,377100,378500,379200,379600,380400,381400,382400,383300,384600,385800
395078,"Seattle, WA",15,234300,234400,235000,235500,236000,236800,238200,239800,241200,242800,244800,247000,249200,251100,252700,254800,257500,259600,261400,263600,266100,268500,270800,272900,274700,276800,279600,283000,286300,289500,291900,293900,296000,298500,301000,303500,305300,307200,309800,312500,314900,317300,320200,323700,327200,330100,332500,334600,336600,338900,340900,342300,343300,344300,345200,346300,347700,349400,351500,353600,355800,357900,359600,360800,361900,362900,364100,365500,366100,366400,366800,367200,367900,368700,369300,369800,370600,372000,374100,375900,377200,378900,381100,383500,385400,387000,388700,390700,392900,395000,397100,399100,402100,406300,410400,414300,418000,421400,424900,429300,433800,437800,441800,446700,452000,456700,461600,467800,474800,482200,489700,497300,505000,512700,519600,526000,532500,538700,544200,549800,556300,563200,569800,575200,580300,585600,590500,594700,598800,603000,606700,608500,610200,612700,615300,616500,617000,616800,616600,615300,613300,610300,606300,601400,596500,591200,585700,580200,574900,569700,564300,558600,553500,549800,545800,539800,532800,526800,521800,518000,515000,512900,511600,510500,507600,504200,502600,503500,503600,502500,500300,497600,495200,492400,489900,487600,485000,481300,477500,474600,472700,470100,466700,464400,463700,462400,460700,461000,462100,463000,464400,466300,467500,469000,472300,476400,479800,483100,486900,490000,494600,499500,503500,506900,511800,517500,523300,528300,533000,537000,540000,543100,547000,551400,556600,561500,564100,566000,569400,573100,575400,577900,581000,583900,586200,588500,591700,597700,606200,614500,620500,624900,628900,634000,640100,645200,649800,655800,662600,669200,677200,686100,694400,700800,706100,710000
394865,"Minneapolis-St Paul, MN",16,174800,175500,176100,176500,176700,177000,177100,177300,178000,179500,180800,181600,182100,182800,183200,183600,184000,184500,185500,187000,188200,189700,191200,192100,192200,192400,192800,193600,194500,195500,196800,198500,200100,201600,203300,205200,207100,209300,211600,213900,216300,218600,220800,222900,224900,227100,229800,232600,235400,238000,240300,242800,245700,248800,251400,253600,255800,258300,261100,263800,266300,268600,271000,273100,275300,277500,279500,281100,282800,284500,285900,287500,289300,291400,293700,296200,298600,301100,303800,306100,308200,310500,312800,314800,316900,319300,321600,323800,326000,328200,330200,332300,334400,336600,338400,340100,341900,343900,346400,349200,351300,352800,354700,357000,359000,360700,362500,364700,366900,368700,370200,371500,372700,373800,375000,375800,376000,376600,377600,378700,379700,379900,379400,378700,378300,377900,377600,377200,376900,376800,377100,377100,376300,374800,372600,370600,368900,367100,364400,362100,361400,360800,358600,355400,352400,350100,348300,346200,344100,342200,340700,338900,336300,333800,332600,331500,329600,327100,324600,322200,320700,320000,319600,318800,316500,312900,310100,309100,308700,308600,308700,308200,306500,304400,302800,303000,304400,304900,302800,299600,297100,295500,294500,293300,291700,289900,288100,286500,285900,286100,286600,287800,290100,292800,295600,299000,302700,305900,308300,309600,310700,312900,315700,318100,320300,322100,323800,325400,327200,329100,331200,332800,333900,334800,336100,337300,338300,338900,339900,341300,342800,344200,345500,346300,346900,347900,349100,350200,351200,351400,351100,351100,351300,352100,353700,355300,356300,357400,359400,361500,362500,363500,365100,366800,368600,370500
